codec,type,preset,infile.size,outfile.filename,outfile.size,outfile.options,encode.time,ratio_persent,encode.speed,ssim.harmonic_mean,vmaf.harmonic_mean,vmafdiff,RANK.comps,RANK.speed,RANK.ssim,RANK.vmaf,Total.score,Total.RANK,note
h264_vaapi,x264,none,149726605,/dist/x264_h264_vaapi_none,243254615,,00:01:01,-0.6246585902,4.8438088259,0.998794,96.498531,-0.720936,32,8,2,1,43,1,
hevc_nvenc,x265,15,"149,726,605",/dist/x265_hevc_nvenc_15,"83,252,825","-tag:v,hvc1",00:00:44,0.4439677237,6.7244671639,0.996113,94.564380,1.213215,22,4,15,7,48,2,bast
libx264,x264_crf21,veryfast,"149,726,605",/dist/x264_crf21_libx264_veryfast,"112,142,654","-crf,21",00:01:14,0.2510171856,4.0229076971,0.997481,94.201007,1.576588,27,11,6,9,53,3.5,
hevc_nvenc,x265,18,"149,726,605",/dist/x265_hevc_nvenc_18,"83,173,796","-tag:v,hvc1",00:01:57,0.4444955457,2.5592470353,0.996206,94.571730,1.205865,21,14,12,6,53,3.5,
libx264,x264_crf23,medium,"149,726,605",/dist/x264_crf23_libx264_medium,"117,426,241","-crf,23",00:02:40,0.2157289548,1.8748978259,0.998189,94.905810,0.871785,28,17,5,4,54,5.5,
libx264,x264_crf21,medium,"149,726,605",/dist/x264_crf21_libx264_medium,"145,528,213","-crf,21",00:02:48,0.0280403873,1.7847438580,0.998784,95.928018,-0.150423,31,18,3,2,54,5.5,vmaf bast
h264_nvenc,x264,18,"149,726,605",/dist/x264_h264_nvenc_18,"81,357,110",,00:01:12,0.4566289004,4.1499668206,0.994913,93.694475,2.083120,18,9,17,11,55,7,
h264_nvenc,x264,15,"149,726,605",/dist/x264_h264_nvenc_15,"81,298,462",,00:00:39,0.4570206010,7.5029053876,0.994206,93.160848,2.616747,17,3,22,14,56,8,
hevc_nvenc,x265,12,"149,726,605",/dist/x265_hevc_nvenc_12,"82,825,077","-tag:v,hvc1",00:00:22,0.4468245840,13.4524874542,0.994503,92.862407,2.915188,20,1,21,17,59,9,1st encode
libx264,x264_crf25,medium,"149,726,605",/dist/x264_crf25_libx264_medium,"93,144,185","-crf,25",00:02:32,0.3779049154,1.9701643957,0.997321,93.582243,2.195352,25,16,8,12,61,10,
libx264,x264_crf21,veryslow,"149,726,605",/dist/x264_crf21_libx264_veryslow,"132,417,440","-crf,21",00:11:55,0.1156051391,0.4191350674,0.998809,95.777595,0.000000,29,29,1,3,62,11,
libx265,x265_crf26,medium,"149,726,605",/dist/x265_crf26_libx265_medium,"59,385,100","-crf,26,-tag:v,hvc1",00:05:33,0.6033764340,0.8984924130,0.996147,93.481990,2.295605,12,25,13,13,63,12.5,
libx264,x264_crf23,veryslow,"149,726,605",/dist/x264_crf23_libx264_veryslow,"107,627,844","-crf,23",00:11:21,0.2811708781,0.4402328538,0.998216,94.650267,1.127328,26,28,4,5,63,12.5,
hevc_vaapi,x265,none,"149,726,605",/dist/x265_hevc_vaapi_none,"142,099,719","-tag:v,hvc1",00:02:22,0.0509387493,2.1090065523,0.997034,94.162808,1.614787,30,15,10,10,65,14.5,
libx265,x265_crf26,veryslow,"149,726,605",/dist/x265_crf26_libx265_veryslow,"69,360,251","-crf,26,-tag:v,hvc1",01:41:07,0.5367539991,0.0494450325,0.997206,94.289842,1.487753,16,32,9,8,65,14.5,
libx264,x264_crf23,veryfast,"149,726,605",/dist/x264_crf23_libx264_veryfast,"86,732,260","-crf,23",00:01:15,0.4207291349,3.9734491582,0.996273,92.644346,3.133249,24,12,11,19,66,16.5,
libx265,x265_crf26,veryfast,"149,726,605",/dist/x265_crf26_libx265_veryfast,"54,091,611","-crf,26,-tag:v,hvc1",00:03:41,0.6387307987,1.3557791971,0.995508,92.810685,2.966910,10,22,16,18,66,16.5,1st compression
libx264,x264_crf25,veryfast,149726605,/dist/x264_crf25_libx264_veryfast,66965558,"-crf,25",00:01:13,0.5527477698,4.0681599053,0.994557,90.607486,5.170109,15,10,20,24,69,18,
h264_nvenc,x264,12,149726605,/dist/x264_h264_nvenc_12,81550425,,00:00:22,0.4553377805,13.4361122316,0.990706,90.648364,5.129231,19,2,26,23,70,20,
libx265,x265_crf28,medium,149726605,/dist/x265_crf28_libx265_medium,45234434,"-crf,28,-tag:v,hvc1",00:05:18,0.6978864645,0.9421491693,0.994750,91.828643,3.948952,8,24,18,20,70,20,
libx265,x265_crf28,veryslow,"149,726,605",/dist/x265_crf28_libx265_veryslow,"52,303,353","-crf,28,-tag:v,hvc1",01:33:07,0.6506742873,0.0536914951,0.996141,92.886002,2.891593,9,31,14,16,70,20,
libx265,x265_crf30,veryfast,149726605,/dist/x265_crf30_libx265_veryfast,32391031,"-crf,30,-tag:v,hvc1",00:03:28,0.7836654949,1.4410687420,0.991698,88.624193,7.153402,1,20,25,26,72,22.5,
libx264,x264_crf25,veryslow,"149,726,605",/dist/x264_crf25_libx264_veryslow,"85,350,411","-crf,25",00:10:53,0.4299582830,0.4591939947,0.997343,93.130276,2.647319,23,27,7,15,72,22.5,
libx265,x265_crf28,veryfast,149726605,/dist/x265_crf28_libx265_veryfast,41650461,"-crf,28,-tag:v,hvc1",00:03:34,0.7218232458,1.4008981489,0.993894,90.972638,4.804957,7,21,23,22,73,24,
h264_qsv,x264,4,149726605,/dist/x264_h264_qsv_4,60207398,,00:00:58,0.5978844374,5.1538741792,0.988138,87.907018,7.870577,13,6,28,28,75,25,
hevc_qsv,x265,7,149726605,/dist/x265_hevc_qsv_7,35121841,"-tag:v,hvc1",00:00:59,0.7654268525,5.0439648048,0.969265,75.991347,19.786248,5,7,32,32,76,27,
libx265,x265_crf30,medium,149726605,/dist/x265_crf30_libx265_medium,34852511,"-crf,30,-tag:v,hvc1",00:05:07,0.7672256644,0.9770645969,0.992840,89.688382,6.089213,4,23,24,25,76,27,
libx265,x265_crf30,veryslow,149726605,/dist/x265_crf30_libx265_veryslow,39638575,"-crf,30,-tag:v,hvc1",01:26:11,0.7352603099,0.0580180958,0.994667,91.083928,4.693667,6,30,19,21,76,27,
h264_qsv,x264,7,149726605,/dist/x264_h264_qsv_7,60299829,,00:00:53,0.5972671056,5.5769300696,0.986195,86.713537,9.064058,14,5,29,29,77,29,
h264_qsv,x264,1,149726605,/dist/x264_h264_qsv_1,58283609,,00:01:17,0.6107331159,3.8897534575,0.988368,88.219465,7.558130,11,13,27,27,78,30,
hevc_qsv,x265,4,149726605,/dist/x265_hevc_qsv_4,34453318,"-tag:v,hvc1",00:02:59,0.7698918105,1.6730893729,0.977795,80.717467,15.060128,3,19,31,31,84,31,
hevc_qsv,x265,1,149726605,/dist/x265_hevc_qsv_1,33884205,"-tag:v,hvc1",00:07:12,0.7736928250,0.6928884335,0.980085,81.335168,14.442427,2,26,30,30,88,32,
